,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
452,3vxYNXtM9uOMdRAXTXgtmf,Yung Sarria,Yung Sarria,78767,126.954571,2,19,25,https://i.scdn.co/image/ab6761610000e5eb4362ad079d85534961a1d1d2
453,12lHTAdc9T204lw5qPtasv,Foreign Teck,Foreign Teck,7319,0.315909,0,7,8,https://i.scdn.co/image/ab6761610000e5eb54ab334a203e461238a46c7e
454,7fT2Me47PQ8T7954PKrcwR,Bhavi,Bhavi,936608,2088.068316,2,30,42,https://i.scdn.co/image/ab6761610000e5eb851ae4ad6527c02b397337a4
455,0LALueHEQunQ2d61fXGeZh,Diego Torres,Diego Torres,1717040,2857.987978,5,36,54,https://i.scdn.co/image/ab6761610000e5eb3ec801ef6e66aae17694426c
456,3JkgQ8Jjwt2mkeOsg5yhqh,Alexander Acha,Alexander Acha,516045,22.042285,5,5,7,https://i.scdn.co/image/ab6761610000e5ebcc18f69ac9b9fac37e4577bf
457,0wn2qDKzeFlhjRUtJAwJjp,Bandalos Chinos,Bandalos Chinos,207271,390.948773,5,8,10,https://i.scdn.co/image/ab6761610000e5eb1a216112e18ad8f5e2adf755
458,6i3DxIlAqnDkwELLw4aVrx,Lele Pons,Lele Pons,1097821,35.578613,3,9,146,https://i.scdn.co/image/ab6761610000e5eb99cbf685383bb1d6db59b056
459,6ESkuwldylZr39AIAPC63J,Alejandro Lerner,Alejandro Lerner,293846,654.264796,5,18,12,https://i.scdn.co/image/ab6761610000e5eb0dbbb2b8c4424c818c0106a4
460,1dpnxi6xgoB2kaRYnnoatZ,Miguel Ríos,Miguel Ríos,209849,2594.281232,5,11,11,https://i.scdn.co/image/ab6761610000e5ebe44524680238d97bffb950b2
461,7thnnayFyJnVOAJrpe5wMC,Mikel Erentxun,Mikel Erentxun,121815,38.14051,5,5,8,https://i.scdn.co/image/ab6761610000e5ebea981967e55358368dc4176a
462,6qhOH2mrlqUDod9sWA5kR2,Leo Dan,Leo Dan,2089641,1035.049621,3,18,18,https://i.scdn.co/image/ab6761610000e5ebf4ec89abadc41dbee74502b0
463,3v8mFhjLFa50QK8zDvAMYN,Amanda Miguel,Amanda Miguel,1309564,39.143474,5,6,58,https://i.scdn.co/image/ab6761610000e5eb37d67502e4f37ac2fc79af69
464,2UFqwY8A3PLcx8pAkg9g5P,Diego Verdaguer,Diego Verdaguer,1021905,1427.471175,5,8,56,https://i.scdn.co/image/ab6761610000e5eb352069799c0013b73c8836df
465,13wFTN72PGSUxzEHJP5Ljs,Los Caligaris,Los Caligaris,876274,201.683984,5,22,14,https://i.scdn.co/image/ab6761610000e5eb4c71da827b931079b3bc664c
466,6gvh8pQI316iafbHiT7B3y,Daniela Romo,Daniela Romo,834490,247.848512,5,9,9,https://i.scdn.co/image/ab6761610000e5eb14ddb86dcb0887b8479b4c86
467,23herDudxPBB3S81GB5uG3,Alizzz,Alizzz,51264,586.566015,3,5,13,https://i.scdn.co/image/ab6761610000e5eb4e2ab3385f5660edc634e8c2
468,5o7fmoqHl79fzoCzeApdxm,Sticky M.A.,Sticky M.A.,104770,2783.248844,2,17,21,https://i.scdn.co/image/ab6761610000e5ebdb71fc810458b08fcff9938f
